Date,Rate
31-Jan-1998,-1.06
28-Feb-1998,-0.42
31-Mar-1998,-0.05
30-Apr-1998,-0.10
31-May-1998,-0.41
30-Jun-1998,-0.73
31-Jul-1998,-0.89
31-Aug-1998,-0.87
30-Sep-1998,-0.87
31-Oct-1998,-0.65
30-Nov-1998,-0.82
31-Dec-1998,-0.54
31-Jan-1999,-0.21
28-Feb-1999,0.05
31-Mar-1999,-0.25
30-Apr-1999,-0.19
31-May-1999,-0.33
30-Jun-1999,-0.34
31-Jul-1999,-0.59
31-Aug-1999,-0.42
30-Sep-1999,-0.37
31-Oct-1999,-0.11
30-Nov-1999,-0.15
31-Dec-1999,-0.18
31-Jan-2000,-0.59
29-Feb-2000,-0.40
31-Mar-2000,-0.27
30-Apr-2000,0.15
31-May-2000,0.29
30-Jun-2000,0.05
31-Jul-2000,0.00
31-Aug-2000,0.10
30-Sep-2000,0.06
31-Oct-2000,-0.50
30-Nov-2000,-0.71
31-Dec-2000,-0.90
31-Jan-2001,-0.89
28-Feb-2001,-0.74
31-Mar-2001,-0.57
30-Apr-2001,-0.97
31-May-2001,-1.08
30-Jun-2001,-0.66
31-Jul-2001,-0.79
31-Aug-2001,-0.75
30-Sep-2001,-0.64
31-Oct-2001,-1.19
30-Nov-2001,-1.39
31-Dec-2001,-1.11
31-Jan-2002,-0.87
28-Feb-2002,-0.43
31-Mar-2002,-0.42
30-Apr-2002,-0.56
31-May-2002,-0.27
30-Jun-2002,-0.60
31-Jul-2002,-0.92
31-Aug-2002,-1.06
30-Sep-2002,-1.10
31-Oct-2002,-1.22
30-Nov-2002,-0.70
31-Dec-2002,-0.65
31-Jan-2003,-0.60
28-Feb-2003,-0.28
31-Mar-2003,-0.30
30-Apr-2003,-0.52
31-May-2003,-0.17
30-Jun-2003,-0.09
31-Jul-2003,0.04
31-Aug-2003,-0.04
30-Sep-2003,0.08
31-Oct-2003,-0.23
30-Nov-2003,-0.39
31-Dec-2003,-0.37
31-Jan-2004,-0.49
29-Feb-2004,-0.37
31-Mar-2004,-0.02
30-Apr-2004,0.40
31-May-2004,0.33
30-Jun-2004,0.40
31-Jul-2004,-0.44
31-Aug-2004,0.07
30-Sep-2004,-0.02
31-Oct-2004,-0.59
30-Nov-2004,-0.04
31-Dec-2004,0.12
31-Jan-2005,-0.09
28-Feb-2005,-0.12
31-Mar-2005,-0.26
30-Apr-2005,-1.29
31-May-2005,-0.96
30-Jun-2005,-0.92
31-Jul-2005,-0.87
31-Aug-2005,-0.48
30-Sep-2005,0.07
31-Oct-2005,-0.11
30-Nov-2005,-0.65
31-Dec-2005,-0.70
31-Jan-2006,-0.38
28-Feb-2006,-0.75
31-Mar-2006,-0.42
30-Apr-2006,0.08
31-May-2006,0.10
30-Jun-2006,0.14
31-Jul-2006,-0.11
31-Aug-2006,0.05
30-Sep-2006,-0.63
31-Oct-2006,-0.50
30-Nov-2006,-0.23
31-Dec-2006,-0.45
31-Jan-2007,-0.87
28-Feb-2007,-0.72
31-Mar-2007,-0.59
30-Apr-2007,-0.81
31-May-2007,-0.41
30-Jun-2007,-0.37
31-Jul-2007,-0.43
31-Aug-2007,-0.10
30-Sep-2007,-0.04
31-Oct-2007,-0.60
30-Nov-2007,-0.48
31-Dec-2007,-0.15
31-Jan-2008,-0.36
29-Feb-2008,0.45
31-Mar-2008,0.15
30-Apr-2008,0.13
31-May-2008,-0.12
30-Jun-2008,0.27
31-Jul-2008,1.00
31-Aug-2008,0.28
